Project ID Number,Lead_AQMD,n_aqmd_partners,n_county_partners,Agency_Name,Total_Funding,Total_GHG_Reductions,DAC_Funding,cost_per_ton,share_DAC,log_funding,cross_aqmd_collab,high_county_collab,SoCal_AQMD
8GG21331,San Joaquin Valley Unified,1,1,California Department of Forestry and Fire Protection,46907,0,,,,10.755943515580956,0,0,0
8GG21332,Tuolumne,1,1,California Department of Forestry and Fire Protection,5094,0,,,,8.536014945656826,0,0,0
8GG21601,Northern Sierra,1,1,California Department of Forestry and Fire Protection,4731454,768677,,6.155321415887297,,15.369743324159211,0,0,0
8GG21602,Siskiyou,1,1,California Department of Forestry and Fire Protection,3976377,51193,,77.67423280526634,,15.19588191266223,0,0,0
8GG21603,Sacramento Metro,1,1,California Department of Forestry and Fire Protection,4483115,-4117,,,,15.31582889833259,0,0,0
8GG21604,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4403584,65614,,67.11348187886732,,15.297929539868651,0,0,0
8GG21605,Northern Sierra,1,1,California Department of Forestry and Fire Protection,4965493,2619493,,1.895593154858593,,15.418023346987292,0,0,0
8GG21606,Placer,1,1,California Department of Forestry and Fire Protection,2609680,313,,8337.635782747604,,14.774738549606909,0,0,0
8GG21608,North Coast Unified,1,1,California Department of Forestry and Fire Protection,4997829,11300,,442.28575221238935,,15.424514376193116,0,0,0
8GG21609,Butte,1,1,California Department of Forestry and Fire Protection,3529137,166715,,21.16868308190625,,15.076564206455043,0,0,0
